date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin
2023-01-01,4299,0.0242,75.98,995.96,0.0293,104,7901.84,73,31,13.64,4741.1,0.6
2023-01-02,4976,0.0254,70.11,1004.76,0.0239,126,8833.63,89,37,11.29,5300.18,0.6
2023-01-03,5137,0.025,77.04,901.74,0.029,128,9861.28,91,37,9.91,5916.77,0.6
2023-01-04,5316,0.0252,66.49,1048.29,0.0257,133,8842.78,97,36,10.81,5305.67,0.6
2023-01-05,4969,0.0235,80.15,1020.62,0.0271,116,9296.91,79,37,12.92,5578.15,0.6
2023-01-06,4973,0.025,77.36,1054.02,0.0329,124,9593.01,84,40,12.55,5755.81,0.6
2023-01-07,4540,0.026,76.28,860.13,0.0383,118,9001.06,80,38,10.75,5400.63,0.6
2023-01-08,4382,0.0279,79.91,1110.19,0.032,122,9749.44,84,38,13.22,5849.66,0.6
2023-01-09,4939,0.0269,83.33,999.61,0.024,132,10999.21,96,36,10.41,6599.53,0.6
2023-01-10,5145,0.0293,80.07,1062.83,0.0322,150,12010.78,106,44,10.03,7206.47,0.6
2023-01-11,4948,0.0235,65.8,956.25,0.036,116,7632.29,82,34,11.66,4579.38,0.6
2023-01-12,4952,0.0267,68.6,1039.7,0.027,132,9055.48,87,45,11.95,5433.29,0.6
2023-01-13,5097,0.0254,71.88,957.22,0.0293,129,9271.99,88,41,10.88,5563.2,0.6
2023-01-14,3870,0.0294,75.13,979.53,0.0301,113,8489.74,74,39,13.24,5093.84,0.6
2023-01-15,3912,0.0234,77.59,1107.24,0.0261,91,7060.53,65,26,17.03,4236.32,0.6
2023-01-16,4949,0.0233,71.37,1002.83,0.0332,115,8207.7,84,31,11.94,4924.62,0.6
2023-01-17,4863,0.0238,75.93,1024.06,0.0294,115,8732.39,82,33,12.49,5239.43,0.6
2023-01-18,5132,0.0208,71.22,1057.51,0.0321,106,7549.65,72,34,14.69,4529.79,0.6
2023-01-19,4892,0.0239,71.94,1039.62,0.0256,117,8417.26,85,32,12.23,5050.36,0.6
2023-01-20,4795,0.0235,67.97,1023.18,0.0278,112,7612.27,77,35,13.29,4567.36,0.6
2023-01-21,4575,0.0253,70.38,1034.73,0.0336,115,8094.14,77,38,13.44,4856.48,0.6
2023-01-22,4241,0.0257,68.24,1137.48,0.0281,108,7370.09,73,35,15.58,4422.05,0.6
2023-01-23,5104,0.0288,70.12,1015.25,0.0386,146,10237.61,100,46,10.15,6142.57,0.6
2023-01-24,4809,0.0269,80.27,1029.01,0.028,129,10354.6,90,39,11.43,6212.76,0.6
2023-01-25,4990,0.0238,70.25,1072.31,0.0311,118,8289.85,82,36,13.08,4973.91,0.6
2023-01-26,5125,0.0232,88.16,1075.88,0.0347,118,10403.11,79,39,13.62,6241.86,0.6
2023-01-27,4876,0.026,77.47,1080.78,0.0229,126,9760.79,91,35,11.88,5856.47,0.6
2023-01-28,4386,0.0224,75.92,1054.19,0.0212,98,7440.57,68,30,15.5,4464.34,0.6
2023-01-29,4195,0.0287,70.71,965.93,0.0224,120,8484.99,82,38,11.78,5090.99,0.6
2023-01-30,5061,0.0274,78.5,1105.57,0.0363,138,10833.21,99,39,11.17,6499.93,0.6
2023-01-31,5003,0.0241,72.12,967.41,0.0272,120,8654.62,81,39,11.94,5192.77,0.6
