date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin,revenue_growth_dod,orders_growth_dod,traffic_growth_dod,revenue_7d_avg,conversion_7d_avg
2023-01-01,4299,0.0242,75.98,995.96,0.0293,104,7901.84,73,31,13.64,4741.1,0.6,0.0,0.0,0.0,0.0,0.0
2023-01-02,4976,0.0254,70.11,1004.76,0.0239,126,8833.63,89,37,11.29,5300.18,0.6,0.1179206362062506,0.21153846153846145,0.15747848336822523,0.0,0.0
2023-01-03,5137,0.025,77.04,901.74,0.029,128,9861.28,91,37,9.91,5916.77,0.6,0.11633382878839171,0.015873015873015817,0.032355305466237994,0.0,0.0
2023-01-04,5316,0.0252,66.49,1048.29,0.0257,133,8842.78,97,36,10.81,5305.67,0.6,-0.10328273814352695,0.0390625,0.03484524041269221,0.0,0.0
2023-01-05,4969,0.0235,80.15,1020.62,0.0271,116,9296.91,79,37,12.92,5578.15,0.6,0.05135602152264318,-0.1278195488721805,-0.06527464258841231,0.0,0.0
2023-01-06,4973,0.025,77.36,1054.02,0.0329,124,9593.01,84,40,12.55,5755.81,0.6,0.03184929186148944,0.06896551724137923,0.000804990943851891,0.0,0.0
2023-01-07,4540,0.026,76.28,860.13,0.0383,118,9001.06,80,38,10.75,5400.63,0.6,-0.06170638829731234,-0.048387096774193505,-0.08707017896641867,9047.215714285714,0.024900000000000002
2023-01-08,4382,0.0279,79.91,1110.19,0.032,122,9749.44,84,38,13.22,5849.66,0.6,0.08314354087185305,0.03389830508474567,-0.03480176211453745,9311.158571428572,0.02542857142857143
2023-01-09,4939,0.0269,83.33,999.61,0.024,132,10999.21,96,36,10.41,6599.53,0.6,0.12818890110611458,0.08196721311475419,0.12711090826106797,9620.527142857143,0.02564285714285714
2023-01-10,5145,0.0293,80.07,1062.83,0.0322,150,12010.78,106,44,10.03,7206.47,0.6,0.09196751403055314,0.13636363636363646,0.04170884794492813,9927.598571428573,0.026257142857142857
2023-01-11,4948,0.0235,65.8,956.25,0.036,116,7632.29,82,34,11.66,4579.38,0.6,-0.36454668223046305,-0.22666666666666668,-0.03828960155490768,9754.671428571428,0.026014285714285715
2023-01-12,4952,0.0267,68.6,1039.7,0.027,132,9055.48,87,45,11.95,5433.29,0.6,0.1864695916952841,0.13793103448275867,0.0008084074373484462,9720.181428571426,0.026471428571428573
2023-01-13,5097,0.0254,71.88,957.22,0.0293,129,9271.99,88,41,10.88,5563.2,0.6,0.023909279243066184,-0.022727272727272707,0.029281098546042106,9674.32142857143,0.026528571428571426
2023-01-14,3870,0.0294,75.13,979.53,0.0301,113,8489.74,74,39,13.24,5093.84,0.6,-0.08436700212144321,-0.12403100775193798,-0.24072984108299,9601.275714285714,0.027014285714285713
2023-01-15,3912,0.0234,77.59,1107.24,0.0261,91,7060.53,65,26,17.03,4236.32,0.6,-0.16834555592986356,-0.19469026548672563,0.010852713178294504,9217.145714285714,0.026371428571428573
2023-01-16,4949,0.0233,71.37,1002.83,0.0332,115,8207.7,84,31,11.94,4924.62,0.6,0.1624764713130602,0.2637362637362637,0.265081799591002,8818.358571428571,0.025857142857142856
2023-01-17,4863,0.0238,75.93,1024.06,0.0294,115,8732.39,82,33,12.49,5239.43,0.6,0.06392655676986236,0.0,-0.017377247928874517,8350.017142857143,0.025071428571428574
2023-01-18,5132,0.0208,71.22,1057.51,0.0321,106,7549.65,72,34,14.69,4529.79,0.6,-0.13544287417305,-0.07826086956521738,0.055315648776475435,8338.211428571429,0.024685714285714283
2023-01-19,4892,0.0239,71.94,1039.62,0.0256,117,8417.26,85,32,12.23,5050.36,0.6,0.1149205592312228,0.10377358490566047,-0.046765393608729555,8247.037142857142,0.024285714285714282
2023-01-20,4795,0.0235,67.97,1023.18,0.0278,112,7612.27,77,35,13.29,4567.36,0.6,-0.09563563439884237,-0.042735042735042694,-0.019828291087489736,8009.934285714286,0.024014285714285717
2023-01-21,4575,0.0253,70.38,1034.73,0.0336,115,8094.14,77,38,13.44,4856.48,0.6,0.0633017483615268,0.02678571428571419,-0.04588112617309703,7953.42,0.02342857142857143
2023-01-22,4241,0.0257,68.24,1137.48,0.0281,108,7370.09,73,35,15.58,4422.05,0.6,-0.0894536047066149,-0.060869565217391286,-0.0730054644808743,7997.642857142857,0.02375714285714286
2023-01-23,5104,0.0288,70.12,1015.25,0.0386,146,10237.61,100,46,10.15,6142.57,0.6,0.3890753030152956,0.35185185185185186,0.203489742985145,8287.630000000001,0.024542857142857144
2023-01-24,4809,0.0269,80.27,1029.01,0.028,129,10354.6,90,39,11.43,6212.76,0.6,0.011427471841572334,-0.11643835616438358,-0.05779780564263326,8519.374285714286,0.024985714285714285
2023-01-25,4990,0.0238,70.25,1072.31,0.0311,118,8289.85,82,36,13.08,4973.91,0.6,-0.19940412956560372,-0.0852713178294574,0.03763776252859219,8625.117142857143,0.025414285714285716
2023-01-26,5125,0.0232,88.16,1075.88,0.0347,118,10403.11,79,39,13.62,6241.86,0.6,0.2549213797595855,0.0,0.027054108216432837,8908.81,0.025314285714285713
2023-01-27,4876,0.026,77.47,1080.78,0.0229,126,9760.79,91,35,11.88,5856.47,0.6,-0.06174307490740749,0.06779661016949157,-0.04858536585365858,9215.74142857143,0.025671428571428574
2023-01-28,4386,0.0224,75.92,1054.19,0.0212,98,7440.57,68,30,15.5,4464.34,0.6,-0.23770821828970823,-0.2222222222222222,-0.10049220672682524,9122.374285714286,0.025257142857142856
2023-01-29,4195,0.0287,70.71,965.93,0.0224,120,8484.99,82,38,11.78,5090.99,0.6,0.1403682782367479,0.22448979591836737,-0.04354765161878704,9281.645714285714,0.025685714285714284
2023-01-30,5061,0.0274,78.5,1105.57,0.0363,138,10833.21,99,39,11.17,6499.93,0.6,0.2767498842072884,0.1499999999999999,0.20643623361144225,9366.73142857143,0.025485714285714285
2023-01-31,5003,0.0241,72.12,967.41,0.0272,120,8654.62,81,39,11.94,5192.77,0.6,-0.20110290486383986,-0.13043478260869568,-0.011460185734044614,9123.877142857144,0.025085714285714288
2023-02-01,5498,0.0216,75.61,1040.68,0.0428,118,8921.99,78,40,13.34,5353.19,0.6,0.030893326338995664,-0.01666666666666672,0.09894063561862887,9214.182857142858,0.024771428571428573
2023-02-02,5129,0.0277,87.8,988.66,0.0272,142,12467.66,103,39,9.6,7480.6,0.6,0.3974079773682777,0.20338983050847448,-0.0671153146598763,9509.118571428571,0.025414285714285716
2023-02-03,4924,0.0248,74.52,1023.99,0.0309,121,9016.88,89,32,11.51,5410.13,0.6,-0.27677848128678517,-0.147887323943662,-0.03996880483525056,9402.845714285713,0.025242857142857143
2023-02-04,4504,0.0275,80.75,1044.46,0.0377,123,9931.8,84,39,12.43,5959.08,0.6,0.10146746990089706,0.016528925619834656,-0.08529650690495527,9758.735714285713,0.025971428571428572
2023-02-05,4100,0.0218,71.48,1044.91,0.04,89,6362.09,62,27,16.85,3817.25,0.6,-0.3594222598119172,-0.2764227642276422,-0.08969804618117228,9455.464285714286,0.024985714285714285
2023-02-06,5190,0.0238,74.83,1050.77,0.0403,123,9203.48,83,40,12.66,5522.09,0.6,0.44661266973588853,0.3820224719101124,0.2658536585365854,9222.645714285714,0.02447142857142857
2023-02-07,4760,0.025,83.85,1111.18,0.036,119,9978.63,83,36,13.39,5987.18,0.6,0.0842235762993997,-0.03252032520325199,-0.08285163776493254,9411.789999999999,0.0246
2023-02-08,4890,0.0251,71.87,1054.0,0.0351,122,8767.55,84,38,12.55,5260.53,0.6,-0.1213673620527066,0.025210084033613356,0.027310924369747802,9389.727142857142,0.025100000000000004
2023-02-09,5200,0.0241,84.06,1019.94,0.033,125,10507.78,87,38,11.72,6304.67,0.6,0.19848532372213468,0.024590163934426146,0.0633946830265848,9109.744285714285,0.024585714285714287
2023-02-10,5312,0.0262,78.54,1081.17,0.0339,139,10916.89,98,41,11.03,6550.13,0.6,0.038934008896265304,0.1120000000000001,0.021538461538461506,9381.174285714285,0.024785714285714282
2023-02-11,4403,0.0229,72.19,1093.26,0.0272,100,7218.77,67,33,16.32,4331.26,0.6,-0.33875215377273193,-0.28057553956834536,-0.17112198795180722,8993.59857142857,0.024128571428571426
2023-02-12,4349,0.0247,78.16,973.23,0.0259,107,8363.34,74,33,13.15,5018.0,0.6,0.15855471222936868,0.07000000000000006,-0.012264365205541639,9279.49142857143,0.024542857142857144
2023-02-13,5116,0.0252,79.86,1065.31,0.03,129,10302.3,85,44,12.53,6181.38,0.6,0.23184038912683191,0.20560747663551404,0.17636238215681765,9436.465714285716,0.024742857142857143
2023-02-14,4885,0.026,78.11,1071.32,0.0291,127,9919.85,87,40,12.31,5951.91,0.6,-0.037122778408704704,-0.015503875968992276,-0.045152462861610676,9428.06857142857,0.024885714285714285
2023-02-15,5041,0.0264,67.15,1022.21,0.0277,133,8930.8,92,41,11.11,5358.48,0.6,-0.09970412859065425,0.04724409448818889,0.03193449334698051,9451.39,0.02507142857142857
2023-02-16,5097,0.0228,71.36,1106.7,0.0335,115,8206.9,81,34,13.66,4924.14,0.6,-0.08105656828055718,-0.13533834586466165,0.01110890696290423,9122.692857142858,0.02488571428571429
2023-02-17,5405,0.0219,73.76,1031.23,0.0348,118,8703.96,83,35,12.42,5222.38,0.6,0.06056610900583648,0.026086956521739202,0.06042770257013941,8806.56,0.024271428571428572
2023-02-18,4466,0.0276,74.63,1045.84,0.0304,123,9179.22,88,35,11.88,5507.53,0.6,0.05460273254932235,0.04237288135593231,-0.1737280296022201,9086.624285714284,0.024942857142857145
2023-02-19,4049,0.0257,78.1,1031.73,0.0374,103,8044.65,68,35,15.17,4826.79,0.6,-0.12360200539915156,-0.16260162601626016,-0.093372145096283,9041.097142857143,0.025085714285714288
2023-02-20,5270,0.0235,75.89,1041.99,0.0243,123,9334.29,82,41,12.71,5600.57,0.6,0.1603102683149673,0.1941747572815533,0.30155593973820705,8902.81,0.024842857142857142
2023-02-21,5133,0.0281,68.32,987.22,0.029,144,9838.55,102,42,9.68,5903.13,0.6,0.054022319855071776,0.1707317073170731,-0.025996204933586342,8891.195714285714,0.025142857142857144
2023-02-22,5078,0.0252,76.9,970.85,0.0264,128,9843.33,84,44,11.56,5906.0,0.6,0.00048584395058215435,-0.11111111111111116,-0.010714981492304654,9021.557142857142,0.02497142857142857
2023-02-23,5340,0.0274,78.05,1123.41,0.0207,146,11395.73,102,44,11.01,6837.44,0.6,0.15771085598064882,0.140625,0.051595116187475476,9477.104285714286,0.025628571428571428
2023-02-24,5428,0.0251,77.8,1002.16,0.0296,136,10580.66,91,45,11.01,6348.39,0.6,-0.07152415861028649,-0.06849315068493156,0.016479400749063622,9745.204285714284,0.02608571428571429
2023-02-25,4612,0.0291,80.4,995.76,0.0294,134,10774.12,98,36,10.16,6464.47,0.6,0.018284303625671905,-0.014705882352941124,-0.15033161385408988,9973.047142857144,0.026299999999999997
2023-02-26,4262,0.0285,79.17,938.48,0.0376,121,9579.52,85,36,11.04,5747.71,0.6,-0.11087680478776929,-0.09701492537313428,-0.0758889852558543,10192.314285714285,0.0267
2023-02-27,5173,0.0245,77.3,1015.03,0.0332,126,9739.28,87,39,11.67,5843.57,0.6,0.016677244788882994,0.04132231404958686,0.21374941342092924,10250.17,0.026842857142857144
2023-02-28,5305,0.0269,74.65,981.65,0.0249,142,10600.18,102,40,9.62,6360.11,0.6,0.0883946246539784,0.12698412698412698,0.025517108061086313,10358.974285714285,0.02667142857142857
2023-03-01,5438,0.0263,66.7,1130.73,0.0393,142,9470.72,96,46,11.78,5682.43,0.6,-0.10655102083172185,0.0,0.025070688030160326,10305.744285714287,0.026828571428571427
2023-03-02,5151,0.0277,77.15,1099.94,0.0361,142,10955.03,96,46,11.46,6573.02,0.6,0.1567262045546698,0.0,-0.052776756160353044,10242.787142857142,0.026871428571428574
2023-03-03,5214,0.0231,76.04,1015.87,0.0329,120,9124.61,80,40,12.7,5474.77,0.6,-0.16708489159774098,-0.15492957746478875,0.012230634828188647,10034.78,0.026585714285714285
2023-03-04,4234,0.0264,76.36,1163.72,0.0289,111,8475.73,75,36,15.52,5085.44,0.6,-0.0711131763439754,-0.07499999999999996,-0.18795550441120057,9706.438571428573,0.026199999999999998
2023-03-05,4220,0.0271,68.62,1101.01,0.0252,114,7822.25,79,35,13.94,4693.35,0.6,-0.07710014358645212,0.027027027027026973,-0.003306565895134672,9455.4,0.026
2023-03-06,5426,0.0215,69.59,1036.51,0.0281,116,8072.99,82,34,12.64,4843.79,0.6,0.03205471571478791,0.01754385964912286,0.285781990521327,9217.358571428571,0.02557142857142857
2023-03-07,5539,0.0226,80.27,928.6,0.0354,125,10033.22,89,36,10.43,6019.93,0.6,0.24281338141134823,0.07758620689655182,0.02082565425727978,9136.364285714286,0.024957142857142855
